nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Francia,67750000,551695,Europa
Canada,38930000,9984670,America
Australia,26000000,7692024,Oceania
China,1412000000,9596961,Asia
India,1408000000,3287263,Asia
Sudafrica,59893885,1221037,Africa
Egipto,109300000,1002450,Africa
Mexico,126700000,1964375,America
Italia,58850000,301340,Europa
Chile,19600000,756102,America
Nueva Zelanda,5123000,268021,Oceania
Uruguay,30000000,185000,america
